economy,time,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,SL.EMP.TOTL.SP.ZS
NPL,2007,3.41156027980276,633.226129136597,36.717
NPL,2008,6.10463914373472,666.865095417138,36.667
NPL,2009,4.5330787246486,692.400000816919,36.619
NPL,2010,4.81641464694573,721.265221364302,36.587
NPL,2011,3.42180870116162,742.617252662576,36.496
NPL,2012,4.67014192446953,775.310578479839,36.37
NPL,2013,3.52515317129149,801.039060847856,36.191
NPL,2014,6.01148284250441,846.665541773599,36.055
NPL,2015,3.97605327162971,875.543635474862,35.943
NPL,2016,0.433113719381524,875.188943730855,35.8
NPL,2017,8.97727935643466,951.857298563641,35.66
NPL,2018,7.62237610397935,1021.91492204011,35.533
NPL,2019,6.65705543110467,1077.11796498188,35.599
NPL,2020,-2.3696206292072,1031.53618783934,34.253
NPL,2021,4.838149614115,1062.7888430629,34.677
NPL,2022,5.6313145568451,1113.55462341223,35.224
NPL,2023,1.98254843628392,1136.42769313825,35.269
PAK,1990,4.45858681510218,950.884644833285,
PAK,1991,5.06156775897861,966.522495703734,49.384
PAK,1992,7.70589781716029,1011.6250844611,49.388
PAK,1993,1.7577476978468,1001.25854820003,48.907
PAK,1994,3.73741555767747,1009.06429520182,48.855
PAK,1995,4.96260914623281,1028.96592446155,48.065
PAK,1996,4.84658128681654,1047.88663514614,48.944
PAK,1997,1.01439601077892,1028.99804758369,49.814
PAK,1998,2.55023429817393,1026.50033720969,49.64
PAK,1999,3.66013273943236,1035.49888206288,49.866
PAK,2000,4.2600880111325,1049.54229686852,50.101
PAK,2001,3.65135017083765,1057.86767778646,50.122
PAK,2002,2.59481668445784,1059.04171024589,50.14
PAK,2003,5.40131087314342,1090.27523993746,50.28
PAK,2004,7.83125556961251,1146.99632842666,50.427
PAK,2005,7.2765744364722,1201.23359367214,50.087
PAK,2006,6.05163767569996,1243.94142602543,49.741
PAK,2007,4.4448143398844,1265.35567539842,49.846
PAK,2008,2.1204410433083,1258.05188934452,49.872
PAK,2009,3.47255059567348,1269.07432116444,50.265
PAK,2010,1.50171752152883,1256.69482201323,50.664
PAK,2011,2.68011685421705,1261.83161907857,50.37
PAK,2012,3.02758391088629,1275.48806898966,49.238
PAK,2013,4.36686504978387,1309.70080446386,49.931
PAK,2014,4.11642817161422,1343.30778121043,50.066
PAK,2015,4.21794209572506,1380.47020838317,50.17
PAK,2016,6.57383828511043,1452.18658269177,50.501
PAK,2017,4.43262590683975,1495.26187528032,49.693
PAK,2018,6.15170261099519,1561.68169819559,48.911
PAK,2019,2.49763692943365,1573.8330826937,49.105
PAK,2020,-1.27408744338709,1526.00597486307,48.495
PAK,2021,6.51388575852702,1595.02792175422,49.388
PAK,2022,4.7781068690358,1642.28066974826,49.633
PAK,2023,-0.414935997088406,1610.33122837537,49.63
